strain_id,initial_fitness,reads_t0,frequency_t0,reads_t1,frequency_t1,reads_t2,frequency_t2,reads_t3,frequency_t3,reads_t4,frequency_t4,reads_t5,frequency_t5,reads_t6,frequency_t6,reads_t7,frequency_t7,reads_t8,frequency_t8,reads_t9,frequency_t9,reads_t10,frequency_t10,avg_fitness_t0,avg_fitness_t1,avg_fitness_t2,avg_fitness_t3,avg_fitness_t4,avg_fitness_t5,avg_fitness_t6,avg_fitness_t7,avg_fitness_t8,avg_fitness_t9,avg_fitness_t10
strain_30,0.9398293387770603,1250000,0.00025,778,2.774538418185064e-06,0,1.878548610681994e-10,0,4.309481416844647e-15,0,9.224326090670946e-20,0,1.9408882160006446e-24,0,3.9977908278436907e-29,0,7.676075264713184e-34,0,1.483378909100399e-38,0,3.021317123449807e-43,0,7.183830256032254e-48,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_31,1.1852278184508938,1250000,0.00025,281340,0.0010021337656092558,6879,2.450620918442198e-05,56,2.0181967896505993e-07,0,1.4980703740665135e-09,0,1.0834759742338168e-11,0,7.771050504007126e-14,0,5.568047973696344e-16,0,4.025797688581394e-18,0,2.96562032044921e-20,0,2.2453124258940844e-22,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_32,0.9986502775262066,1250000,0.00025,3195,1.1381343509932086e-05,0,3.1589912404092474e-09,0,2.957053089075738e-13,0,2.511479878581655e-17,0,2.0763732020716173e-21,0,1.6931550839784233e-25,0,1.3443181889667864e-29,0,1.079670294941034e-33,0,9.037830391389698e-38,0,8.260157751475739e-42,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_33,0.89422890710441,1250000,0.00025,260,9.295917433899969e-07,0,2.110983056577043e-11,0,1.6379101330741374e-16,0,1.2490839367552377e-21,0,9.518634721895681e-27,0,7.022736316779377e-32,0,4.518438930215831e-37,0,2.904462935209528e-42,0,1.9941411090203204e-47,0,1.7654206803573095e-52,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_34,1.082254491210319,1250000,0.00025,23763,8.464435129415315e-05,49,1.7474589424726478e-07,0,1.2147646993566302e-10,0,7.599064100819051e-14,0,4.6170251057480885e-17,0,2.778216556507168e-20,0,1.663360343021377e-23,0,1.0087854381087945e-26,0,6.307104726061048e-30,0,4.1389993012109394e-33,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_35,0.8779156350028978,1250000,0.00025,176,6.289060577482497e-07,0,9.666135638074002e-12,0,5.0999072991909265e-17,0,2.722398524336417e-22,0,1.4642655869685993e-27,0,7.582881510287362e-33,0,3.3094506908430026e-38,0,1.437849584721111e-43,0,6.714986871514443e-49,0,4.253937300657921e-54,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_36,1.0208863595004756,1250000,0.00025,5448,1.9406922067988996e-05,2,9.184447055058793e-09,0,1.4647787956467383e-12,0,2.1104208064080997e-16,0,2.9554247464756384e-20,0,4.088675042826692e-24,0,5.556659928298495e-28,0,7.645911283914905e-32,0,1.0929897488399694e-35,0,1.6811321027931533e-39,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_37,0.8040329876120225,1250000,0.00025,30,1.0804215499882196e-07,0,2.849920993876894e-13,0,2.686691106780943e-19,0,3.2565316974212e-25,0,4.192440899579398e-31,0,5.002325443623299e-37,0,3.912845937083774e-43,0,2.972359694786534e-49,0,2.5416684953817675e-55,0,4.2667489954450004e-61,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_38,0.8671813951101569,1250000,0.00025,136,4.864179250404031e-07,0,5.783701234381066e-12,0,2.369505204104767e-17,0,1.0049428569123185e-22,0,4.321063012267203e-28,0,1.7814583501298536e-33,0,6.030043832885298e-39,0,2.0264459145273137e-44,0,7.355309350259141e-50,0,3.764256030010211e-55,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_39,1.0196861235869124,1250000,0.00025,5293,1.8855874802621925e-05,2,8.670284526975515e-09,0,1.3435591832619645e-12,0,1.8812034271928465e-16,0,2.5603196303164873e-20,0,3.4421687582568116e-24,0,4.544257690031898e-28,0,6.073812075225428e-32,0,8.435360301244151e-36,0,1.2613731426753365e-39,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_40,1.0738466579995412,1250000,0.00025,19420,6.917712281179131e-05,32,1.167130675767103e-07,0,6.63084633484712e-11,0,3.390393618402862e-14,0,1.6835362494911194e-17,0,8.277476338506573e-21,0,4.0451966965260845e-24,0,2.002679017720959e-27,0,1.0231346975404147e-30,0,5.500098982086204e-34,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
