mutant_index,clim_fitness,nlim_fitness,switch_fitness,combined_fitness,delta_s,non_additivity
206,-0.020794871819950433,-0.013713718212483067,-0.0065829729319734,-0.01725429501621675,-0.007081153607467366,0.010671322084243349
207,-0.0377255871882669,-0.0084928683552867,-2.5805233596566553e-05,-0.0231092277717768,-0.0292327188329802,0.023083422538180232
208,-0.02449602390701137,-0.0028185782832609,-0.004635577540228866,-0.013657301095136135,-0.02167744562375047,0.009021723554907268
209,0.00011955512877440007,-0.011021450528495133,-0.0021984480153016,-0.005450947699860367,0.011141005657269533,0.003252499684558767
211,-0.013450743963910697,-0.010569785288038834,-0.0022925836301828668,-0.012010264625974765,-0.002880958675871863,0.009717680995791898
212,-0.056795821119536,-0.024914173716301002,-0.027581300485406034,-0.0408549974179185,-0.031881647403235,0.013273696932512468
215,-0.005726587294079967,-0.0026767332019856003,0.0022559952957738666,-0.004201660248032784,-0.0030498540920943667,0.00645765554380665
216,-0.03448987606676675,-0.0118186782210827,-0.007452100873407266,-0.023154277143924724,-0.022671197845684048,0.015702176270517457
217,-0.0535524188279887,-0.025658149931960934,-0.016421659380382234,-0.03960528437997482,-0.02789426889602777,0.023183624999592586
218,-0.0021364310082980665,-0.014448032343607834,-0.00187414568969,-0.00829223167595295,0.012311601335309768,0.00641808598626295
219,-0.014974395632047166,-0.013334146960015966,-0.0012428270357143336,-0.014154271296031567,-0.0016402486720312002,0.012911444260317234
220,-0.04995390249571754,-0.0206253411019648,-0.007895150827227101,-0.03528962179884117,-0.02932856139375274,0.027394470971614064
221,-0.0228041113620841,0.0025250900776473,-0.00013983687928299996,-0.010139510642218401,-0.0253292014397314,0.009999673762935401
223,-0.014275316993022,0.009015839712406767,-0.0011242992592894667,-0.0026297386403076163,-0.023291156705428764,0.0015054393810181497
224,-0.0017485399986489,-0.014869773928749599,-0.004668524561205733,-0.00830915696369925,0.013121233930100699,0.0036406324024935172
225,-0.0011866152825179333,-0.009218941540498767,-0.0009591964563881334,-0.00520277841150835,0.008032326257980834,0.004243581955120216
227,-0.039017971209521406,-0.017358395353696866,-0.0090084725575855,-0.028188183281609137,-0.02165957585582454,0.019179710724023635
229,-0.0345168614710497,-0.009014504133445766,-0.0005585524006649333,-0.021765682802247735,-0.025502357337603934,0.021207130401582803
230,-0.028851005426740767,-0.012323866440747866,0.0006505033443779665,-0.020587435933744316,-0.016527138985992902,0.021237939278122283
231,-0.018589271877623836,-0.015325711128067765,-0.009392886048624333,-0.0169574915028458,-0.0032635607495560704,0.007564605454221468
232,-0.006757369955314233,-0.01878101072289647,-0.007573187826766001,-0.012769190339105351,0.012023640767582236,0.0051960025123393505
233,-0.006780107265675466,-0.0105104683671253,-0.004179691689712333,-0.008645287816400383,0.0037303611014498335,0.0044655961266880494
234,-0.017890390580326,-0.023753925324145202,-0.012978991535257,-0.020822157952235604,0.005863534743819201,0.007843166416978603
235,-0.0013802892000827334,-0.015157707377160235,-0.006008952729574301,-0.008268998288621484,0.013777418177077502,0.002260045559047183
237,-0.0183209216252198,-0.015820658860488532,-0.006866300696268466,-0.017070790242854166,-0.0025002627647312675,0.010204489546585701
238,-0.03139278961405375,-0.020057498453185097,-0.0112970893371935,-0.025725144033619425,-0.011335291160868653,0.014428054696425925
239,0.00012113673269126674,-0.007055987212248167,-0.005664697693219867,-0.00346742523977845,0.007177123944939434,-0.002197272453441417
240,-0.0164165501140061,-0.012136311947551333,-0.01549912877834,-0.014276431030778717,-0.004280238166454769,-0.001222697747561282
241,-0.0086801319495078,-0.0027048628272274664,-0.0010769661048368,-0.005692497388367633,-0.0059752691222803335,0.0046155312835308325
243,-0.05187610973456904,-0.009625259483534933,-0.0020523692692803338,-0.030750684609051986,-0.04225085025103411,0.028698315339771654
244,-0.04044609650959554,-0.010569570303862233,-0.0051560318822299975,-0.025507833406728887,-0.029876526205733306,0.02035180152449889
245,-0.0181065901836695,-0.009931100224150566,-0.009496603031564866,-0.014018845203910033,-0.008175489959518932,0.004522242172345167
246,-0.0380124241403266,-0.017618896738462397,-0.005641719201431799,-0.0278156604393945,-0.020393527401864203,0.0221739412379627
247,-0.03059106855903325,-0.04060402186297287,-0.026033466124438336,-0.03559754521100306,0.010012953303939622,0.00956407908656472
248,-0.030611540298668766,-0.01915004619058507,-0.0037510607435004666,-0.024880793244626918,-0.011461494108083697,0.02112973250112645
249,-0.04624516676216613,-0.007364880832888933,-0.0026570379027301663,-0.026805023797527534,-0.0388802859292772,0.02414798589479737
250,-0.05927698325133063,-0.02142890223595433,-0.0138286374606838,-0.04035294274364248,-0.0378480810153763,0.026524305282958675
251,0.0006991624107055332,-0.009525145905463899,-0.0007690197703680334,-0.004412991747379183,0.010224308316169432,0.0036439719770111493
252,-0.0075511193877117995,-0.0149616626820777,-0.0043405995601566,-0.01125639103489475,0.007410543294365901,0.00691579147473815
253,-0.003158144123449367,-0.0150341829720567,-0.004286079429196566,-0.009096163547753035,0.011876038848607334,0.0048100841185564685
254,-0.007389107685885633,-0.008714209089816067,-0.0024339857172841,-0.00805165838785085,0.0013251014039304338,0.00561767267056675
255,-0.04901514866938139,-0.007216750448814199,-0.0061082203862056,-0.028115949559097797,-0.04179839822056719,0.022007729172892197
256,-0.0256510357006902,-0.0026823418683588666,-0.0013078087607835,-0.014166688784524532,-0.022968693832331334,0.012858880023741033
257,-0.007594066345669732,-0.018767451139281768,-0.011244523463912,-0.01318075874247575,0.011173384793612035,0.0019362352785637499
258,-0.0405664864807029,-0.009900055288752867,-0.0022169388019249,-0.025233270884727883,-0.030666431191950033,0.023016332082802984
260,-0.030092616540345934,-0.0191604558497563,-0.006895615066588467,-0.02462653619505112,-0.010932160690589634,0.01773092112846265
262,-0.024000191182095003,-0.015403630856136268,-7.989991229693341e-05,-0.019701911019115635,-0.008596560325958735,0.0196220111068187
263,-0.0341116671794262,-0.002035832160958867,-0.0008606379279271666,-0.018073749670192533,-0.032075835018467336,0.017213111742265367
264,-0.020947835911923635,-0.012215351396116231,-1.8208235957532907e-05,-0.016581593654019934,-0.008732484515807404,0.0165633854180624
265,-0.020903750421136135,-0.014233587644537768,-0.006006516033651433,-0.01756866903283695,-0.0066701627765983675,0.011562152999185518
266,-0.039133930533195804,-0.007851590161149198,-4.151674806333369e-06,-0.0234927603471725,-0.03128234037204661,0.023488608672366167
267,-0.03167061774551463,-0.0017405829050543998,-4.154392795510006e-05,-0.016705600325284512,-0.029930034840460227,0.016664056397329412
268,-0.0007114186461856358,-0.012213767590898835,-0.0035169275447820333,-0.006462593118542236,0.011502348944713199,0.0029456655737602026
269,-0.030852592364273967,-0.0049126464894601665,-0.0018398418200343228,-0.017882619426867065,-0.0259399458748138,0.01604277760683274
